FILE_NAME,ATTRIBUTE,DATA_TYPE,Range of Values,EXAMPLE,DESCRIPTION,CONSTRAINTS,RELATIONSHIP,OTHER_NOTES
Hatchery Tagging File,tray,Character String,,APT09050000,Tray Identification. Each tray hold 100 known pit tags. The tray codes can be used to link back to specific tags if required.,,"related to ""tag_id_long"" i.e. 15 digit PIT Tag Code",
,crew,Character,A-Z,"JA, SJ, Jeramy Dambor",Could be initials or full names. Initials can be either two or three characters,,,
,system,Character,A-Z,Big Qualicum,Name of the river work is being conducted in,Names,,
,species,Character,"ck, co, stl, rbt, ct, sk, herring, rock fish, other",ck,species id ,,,
,cohort,Character,"F,S,Sm, SmLun, SmPun, SmLma, SmPma, OR, RR, unk",F,"F = Fall Chinook, S = Summer Chinook, Sm = coho smolts, SmLun = coho late relaese unmarked, SmLma = coho late release marked, SmPun = coho production release unmarked, SmPma = coho production release marked, OR = ocean release, RR = river release, unk = unknown release group",,,
,date_tagged,Date,YYYY-MM-DD,2023-12-10,Date ,,,
,year,Numeric,YYYY,2023,Year,,,
,hex,Character String,A-Z and 0-9,3DD.003DEB9542,"Alternative tag ID code. This is the ""base"" tag code and we convert it to decimal",,,
,owner,Character,A-Z,PSFBCCF ,Who purchased the tags so we can ask for the tag id's from the provider (Biomark). There will be DFO and other groups who supplied some tags as well. ,,,
,tag_id_long,Numeric,"0-9, 15 digits ",989.001038849346,"Convertion to decimal form Hex form. The first three digits (989) can changed (982, 956, 999 etc.)",,,
,X,Error ,,,Not sure ,,,
,fork_length_mm,Numeric,20-1200,45,Size of fish (fork length) in millimeters. These can rage from 20 to over 1 m for adults,,,
Hatchery Tagging Parameters,system,Character,Goldstream;Cowichan;Nanaimo;Big Qualicum;Little Qualicum;Puntledge;Quinsam;Robertson Creek,Nanaimo,"used to reference hatchery tagging and release locations
",Names,,
,tagging_date,Date,YYYY-MM-DD,2023-12-10,Date ,,,
,brood_year,Numeric,2013 - present,2021,"This indicates the year ""brood"" the parents were collected during adult return and spawned. For coho that are released in 2023 brood year would be 2020 (they spend 1 year rearing in hatchery settings before release). For Chinook it is typically the year prior i.e. 2023 releases ",,,
,cohort,Character,"F,S,Sm, SmLun, SmPun, SmLma, SmPma, OR, RR, unk",F,"F = Fall Chinook, S = Summer Chinook, Sm = coho smolts, SmLun = coho late relaese unmarked, SmLma = coho late release marked, SmPun = coho production release unmarked, SmPma = coho production release marked, OR = ocean release, RR = river release, unk = unknown release group",,,
,species,Character,"(ck, co, stl, rbt, ct, sk, herring, rock fish, other",ck,species id ,,,
,mean_size ,Numeric,0-300,4.55,mean weight in grams (g) of tag group,,,
,Ad Clip,Character,y/n,y,"the adipose fin is used to mark hatchery chinook and coho. So a ""y"" means it is a confirmed adipose clipped fish (hatchery) or ""n"" means it is a non-clipped fish (but could still be hatchery stock as they do not clip 100% of their releases).",,,
,CWT,Character,y/n,y,If the release cohort were tagged with coded wire tags (CWT),,,
,tagging_setup,Character,flow/static,flow,if the fish were tagged in a flow through system (constant freshwater moving) or static baths (no flow).,,,
,water_temp,Numeric,0-30,14,temperature is typically taken in degrees celcius,,,
,off_feed,Character,y/n,n,If fish were starved off of feed 24 hours before tagging,,,
,feed_type,Character,?,Bio-Oregan BioVita Fry 1.2 mm,Information on type of feed ,,,
,feed_frequency,Numeric,0-10,1,daily feed frequency ,,,
,rearing_tank_post_tagging,Character,circ/raceway/earthen,circ,type of tank tagged fish were reared in post-tagging. ,,,
,tank_cover,Character,netting/plastic lid/open/inside building,netting,type of cover on tank,,,
,mixing_date,Date,2014-01-01 to Present,2023-05-05,"Date PIT tagged fish were mixed into the main population of fish, post tagging.",,,
,release_date,Date,2014-01-01 to Present,2023-05-05,Date PIT tagged fish were released into the river ,,,
,release_group,Character,smolt/fedfry/late/early/regular,late,release strategy of those fish,,,
,rearing_tank_release,Character,circ/raceway/earthen/other,raceway,tank where fish were released into the river from,,,
,number_released,Numeric,"0-4,000,000",212780,Number of total fish released from that cohort,,,
,mean_size,Numeric,0-30,5.05,weight at release (g),Cowichan fish size is in fork length not weight,,
,release_info,Character,truck/volitional/pump,volitional,method used to release fish,,,
Hatchery Squibs Rejects and Morts,watershed,Character,Watershed Names,Englishman ,This refers to the watershed which is comprised of multiple streams and rivers. ,,,
,rearing_tank_post_tagging,Character,circ/raceway/earthen,circ,type of tank tagged fish were reared in post-tagging. ,,,
,year,Numeric,YYYY,2023,Year,,,
,date_tagged,Date,YYYY-MM-DD,2023-12-10,Date ,,,
,date_found,Date,YYYY-MM-DD,2023-12-10,Date ,,,
,cohort,Character,"F,S,Sm, SmLun, SmPun, SmLma, SmPma, OR, RR, unk",F,"F = Fall Chinook, S = Summer Chinook, Sm = coho smolts, SmLun = coho late relaese unmarked, SmLma = coho late release marked, SmPun = coho production release unmarked, SmPma = coho production release marked, OR = ocean release, RR = river release, unk = unknown release group",,,
,species,Character,"(ck, co, stl, rbt, ct, sk, herring, rock fish, other",ck,species id ,,,
,Marked / Unmarked,,,,,,,
,production / delayed,,,,,,,
,tag_id_long,Numeric,"0-9, 15 digits ",989.001038849346,"Convertion to decimal form Hex form. The first three digits (989) can changed (982, 956, 999 etc.)",,,
,status,Character,mort/tag/reject/squib,mort,"descriptor of tag deployment. i.e. was the tag in question in a mortality, or was it rejected and found on the bottom of the tank, was it in a viable fish ""tag"". Or was it a squib (a tag still in the needle that was not properly deployed).",,,
,notes,Character,Notes,This tag was found outside of the holdign tank on this day YYYY-mm-dd,,,,
Wild Tagging,date,Date,YYYY-MM-DD,2023-12-10,Date ,,,
,watershed,Character,Watershed Names,Englishman ,This refers to the watershed which is comprised of multiple streams and rivers. ,,,
,river,Character,River Names,Center Creek,"This system is located in the Englishman River watershed, but the site itself is Center Creek. ",,,
,method,Character,Beach Seine/RST/Smolt Trap/ Electrofishing/Wolf Trap,Beach Seine,Describes the method used to capture associated tagged fish,,,
,local,Character,Marine/In-river,Marine,Describes the environement fish were captured from,,,
,crew,Character,A-Z,"JA, SJ, Jeramy Damborg",Could be initials or full names. Initials can be either two or three characters,,,
,pit_scanner,Numeric,3 or 4 digits ,8432,"refers to the hand scanner used during tagging. All tagged fish data (date,time,tagid) are on the hand scanners",,,
,pit_tray,Character String,?,APT09050000,Tray Identification. Each tray hold 100 known pit tags. The tray codes can be used to link back to specific tags if required.,,,
,day_start_time,Datetime,2014-01-01 12:00:00 - Present,2022-05-20 12:45:32,The day and start time of that sampling event,,,
,water_temp_start,Numeric,0 - 30,15.3,Surface water temperatures taken at the start of the day,,,
,set_no,Numeric,0-50,4,"The set number associated to the tagged fish. Active capture methods use ""sets"" to indicate which sampling event on that day was that fish captured. ",,,
,species,Character,"(ck, co, stl, rbt, ct, sk, herring, rock fish, other",ck,species id ,,,
,fork_length_mm,Numeric,20-1200,45,Size of fish (fork length) in millimeters. These can rage from 20 to over 1 m for adults,,,
,clip_status,Character,y/n,y,"the adipose fin is used to mark hatchery chinook and coho. So a ""y"" means it is a confirmed adipose clipped fish (hatchery) or ""n"" means it is a non-clipped fish (but could still be hatchery stock as they do not clip 100% of their releases).",,,
,tag_status,Character,mort/tag/reject,mort,"descriptor of tag deployment. i.e. was the tag in question in a mortality, or was it rejected and found on the bottom of the tank, was it in a viable fish ""tag"". ",,,
,scanner_time,Time,00:00:00 to 23:59:59,14:32:24,the exact time that specific fish was tagged,,,
,tag_id_long,Numeric,"0-9, 15 digits ",989.001038849346,"Convertion to decimal form Hex form. The first three digits (989) can changed (982, 956, 999 etc.)",,,
,whatman_sheet_ck,Numeric,001-20/001-21/001-22/001-23/001-24 ,001-22,"001 = the sheet of the current year; -23 = year of the study. Whatman sheet numbers increase as tags are deployed starting in January till december. example of fall 2023 whatman sheet ""232-23"".",,,
,whatman_sheet_co,Numeric,001-20/001-21/001-22/001-23/001-24 ,001-22,"001 = the sheet of the current year; -23 = year of the study. Whatman sheet numbers increase as tags are deployed starting in January till december. example of fall 2023 whatman sheet ""232-23"".",,,
,whatman_no,Numeric,01-50,34,Indicates what square on the whatman sheet the sample is associated with. So a DNA sample could be 02-132-23,,,
,day_end_time,Time,00:00:00 to 23:59:59,14:32:24,The time that the sampling day was ended,,,
,water_temp_end,Numeric,0 - 30,15.3,Surface water temperatures taken at the start of the day,,,
,fish_comments,Character String,?,"fish was found to have a unique mark under its dorsal, photo taken",Any informative comments regarding unusual characteristics of a fish,,,
Predator Master ,date,Date,YYYY-MM-DD,2023-12-10,Date ,,,
,crew,Character,A-Z,"JA, SJ, Jeramy Dambor",Could be initials or full names. Initials can be either two or three characters,,,
,scan_start_time,Datetime,2014-01-01 12:00:00 - Present,2022-05-20 12:45:32,The start time of a mobile scanning session,,,
,scan_end_time,Datetime,2014-01-01 12:00:00 - Present,2022-05-20 12:45:32,The end time of a mobile scanning session,,,
,location_name,Character,?,Cowichan Bay,The commom name of the location of the mobile pit scan,,,
,location_gps,Numeric,?,"49.0375, -123.708300",Latitude and Longitude of mobile scan location,,,
,final_fate,Character,m/p/h/r,r,"character indicates the potential final fate of a fish (m=miami, p = unknown predation, h = harveted, r = heron rookery)  ",,,
,scanner_id,Numeric,3 or 4 digits ,8432,"refers to the hand scanner used during tagging. All tagged fish data (date,time,tagid) are on the hand scanners",,,
,scanner_time,Time,00:00:01 - 23:59:59,14:32:24,the exact time that specific fish was tagged,,,
,tag_id_long,Numeric,"0-9, 15 digits ",989.001038849346,"Convertion to decimal form Hex form. The first three digits (989) can changed (982, 956, 999 etc.)",,,
,tag_gps,Numeric,?,"49.0375, -123.708300",Location of the specific tag (if available),this data is not available for every tag as only some mobile scanners have GPS capability.,,
,haul out name,,,,Government official name of the seal haul out site,,,
,heron rookery,,,,Number of nests,,,
,tags found,,,,,(Y/N),,
,DFO/FLNROR known location,,,,,(Y/N),,
,comments,Character String,?,"5 Dead fledglings found on ground 1 tag was found in dead Heron fledgling, active nesting site",Any informative comments regarding unusual characteristics a tag detection,,,
Microtroll,Row Id,,,,,,,
