table_name,column_name,data_type,range,description
cleaning_table,date_time,timestamp without time zone,,
cleaning_table,detect_area,text,,
cleaning_table,detect_site,text,,
cleaning_table,latitude,double precision,,
cleaning_table,longitude,double precision,,
cleaning_table,tag_id,text,,
collections_ids,mixture_collection,text,," unique identifier associated with sample mixture, or ""removed"" if filtered from mixture."
collections_ids,indiv,text,," individual fish identifier, sampleCode, year/catch date, fish number"
collections_ids,id_source,text,,"The source of assignment, or reason for filtration. For assignment, PBT = Parentage based tagging, explanation on filtering;GSI = Genetic Stock Identification. Filtration is ""Too Few Loci"", ""Failed to amplify"" or ""Non-target species"". See inventory sheet above for"
collections_ids,repunit,text,,"reporting group, short name"
collections_ids,collection,text,,reference collection name
collections_ids,rep_pofz,text,,
collections_ids,rank,text,,
detections,location,text,,
detections,datetime,timestamp without time zone,,date and time of a given fish's detection
detections,tagid,text,,
detections,tag_mfr,text,,
detections,tag_id,text,,
detections,antenna,text,,
detections,amplitude_mv,smallint,,
detections,loc_scanner,text,,
detections,datedownload,date,,
detections,date_delta,smallint,,
detections,fname,text,,
detections,dirname,text,,
detections,tag_size,text,,
extraction_sheet,indiv,text,," individual fish identifier, sampleCode, year/catch date, fish number"
extraction_sheet,sample_id,text,,
extraction_sheet,lane,text,,individual well in 96 well tray
extraction_sheet,stockcode,text,,
extraction_sheet,catchyear,text,,year of catch
extraction_sheet,catchjuliandate,text,,date of catch in Julian days
extraction_sheet,fish,text,,individual fish number
extraction_sheet,vial,text,,"sampling vial number, sometimes the same as fish number, related to whatman_sheet & _no"
extraction_sheet,tray,text,,96 well tray used for the analysis
extraction_sheet,samplename,text,,sample description name
extraction_sheet,lifestage,text,"""Survival Bottlenecks Winter Microtroll 2023""
""Juv""
""Survival Bottlenecks Winter Microtroll 2021""
""Survival Bottlenecks Winter Microtroll 2022""","usually adult or juvenile, smolt"
extraction_sheet,clipyn,text,"""unclip""
""clip""",
extraction_sheet,comments,text,,
extraction_sheet,pid,text,,
extraction_sheet,extractiondateyyyymmdd,text,, Date DNA extraction was performed
extraction_sheet,extractiontech,text,,Initials of extraction technician that performed the extraction
extraction_sheet,exportdateyyyymmdd,text,,Date sample was genotyped
extraction_sheet,pcrtech,text,,Initials of  technician that performed the PCR
extraction_sheet,resultssentddmmyyyy,text,,Date Results were sent to client
extraction_sheet,status,text,,
