"tag" "date" "stage" "origin" "fork_length_mm" "action"
"1" "1" 2022-05-10 "facility" "hatch" NA "tag"
"2" "2" 2022-05-10 "facility" "hatch" NA "tag"
"3" "3" 2022-05-10 "facility" "hatch" NA "tag"
"4" "4" 2022-05-10 "facility" "hatch" NA "tag"
"5" "5" 2022-05-10 "facility" "hatch" NA "tag"
"6" "6" 2022-05-10 "facility" "hatch" NA "tag"
"7" "7" 2022-05-10 "facility" "hatch" NA "tag"
"8" "8" 2022-05-10 "facility" "hatch" NA "tag"
"9" "9" 2022-05-10 "facility" "hatch" NA "tag"
"10" "10" 2022-05-10 "facility" "hatch" NA "tag"
"11" "11" 2022-05-10 "facility" "hatch" NA "tag"
"12" "12" 2022-05-10 "facility" "hatch" NA "tag"
"13" "13" 2022-05-10 "facility" "hatch" NA "tag"
"14" "14" 2022-05-10 "facility" "hatch" NA "tag"
"15" "15" 2022-05-10 "facility" "hatch" NA "tag"
"16" "16" 2022-05-10 "facility" "hatch" NA "tag"
"17" "17" 2022-05-10 "facility" "hatch" NA "tag"
"18" "18" 2022-05-10 "facility" "hatch" NA "tag"
"19" "19" 2022-05-10 "facility" "hatch" NA "tag"
"20" "20" 2022-05-10 "facility" "hatch" NA "tag"
"21" "21" 2022-05-10 "facility" "hatch" NA "tag"
"22" "22" 2022-05-10 "facility" "hatch" NA "tag"
"23" "23" 2022-05-10 "facility" "hatch" NA "tag"
"24" "24" 2022-05-10 "facility" "hatch" NA "tag"
"25" "25" 2022-05-10 "facility" "hatch" NA "tag"
"26" "26" 2022-05-10 "facility" "hatch" NA "tag"
"27" "27" 2022-05-10 "facility" "hatch" NA "tag"
"28" "28" 2022-05-10 "facility" "hatch" NA "tag"
"29" "29" 2022-05-10 "facility" "hatch" NA "tag"
"30" "30" 2022-05-10 "facility" "hatch" NA "tag"
"31" "31" 2022-05-10 "facility" "hatch" NA "tag"
"32" "32" 2022-05-10 "facility" "hatch" NA "tag"
"33" "33" 2022-05-10 "facility" "hatch" NA "tag"
"34" "34" 2022-05-10 "facility" "hatch" NA "tag"
"35" "35" 2022-05-10 "facility" "hatch" NA "tag"
"36" "36" 2022-05-10 "facility" "hatch" NA "tag"
"37" "37" 2022-05-10 "facility" "hatch" NA "tag"
"38" "38" 2022-05-10 "facility" "hatch" NA "tag"
"39" "39" 2022-05-10 "facility" "hatch" NA "tag"
"40" "40" 2022-05-10 "facility" "hatch" NA "tag"
"41" "41" 2022-05-10 "facility" "hatch" NA "tag"
"42" "42" 2022-05-10 "facility" "hatch" NA "tag"
