tag_id_long,watershed,river,site,method,local,water_temp_start,species,fork_length_mm,weight_g
989.001038745307,englishman,shelly creek,martindale rd,smolt trap,in-river,,co,98,
989.001038745310,englishman,shelly creek,martindale rd,smolt trap,in-river,,co,115,
989.001038745385,englishman,shelly creek,martindale rd,smolt trap,in-river,,rbt,106,
989.001038745299,englishman,shelly creek,martindale rd,smolt trap,in-river,7,co,113,
989.001038745330,englishman,shelly creek,martindale rd,smolt trap,in-river,7,rbt,81,
989.001038745328,englishman,shelly creek,martindale rd,smolt trap,in-river,7.8,co,76,
989.001038745382,englishman,shelly creek,martindale rd,smolt trap,in-river,7.8,co,100,
989.001038745369,englishman,shelly creek,martindale rd,smolt trap,in-river,8.6,co,86,
989.001038745362,englishman,shelly creek,martindale rd,smolt trap,in-river,8.6,co,87,
989.001038745347,englishman,shelly creek,martindale rd,smolt trap,in-river,8.6,co,91,
989.001038745344,englishman,shelly creek,martindale rd,smolt trap,in-river,8.6,co,95,
989.001038745387,englishman,shelly creek,martindale rd,smolt trap,in-river,8.6,co,98,
989.001038745338,englishman,shelly creek,martindale rd,smolt trap,in-river,8.6,co,99,
989.001038745322,englishman,shelly creek,martindale rd,smolt trap,in-river,8.6,co,101,
989.001038745290,englishman,shelly creek,martindale rd,smolt trap,in-river,8.6,rbt,76,
989.001038745315,englishman,shelly creek,martindale rd,smolt trap,in-river,8.6,rbt,84,
989.001038745297,englishman,shelly creek,martindale rd,smolt trap,in-river,8.6,rbt,88,
989.001038745377,englishman,shelly creek,martindale rd,smolt trap,in-river,8.6,rbt,89,
989.001038745386,englishman,shelly creek,martindale rd,smolt trap,in-river,8.6,rbt,90,
989.001038745364,englishman,shelly creek,martindale rd,smolt trap,in-river,8.6,rbt,107,
989.001038745375,englishman,shelly creek,martindale rd,smolt trap,in-river,8.6,rbt,164,
989.001038745329,englishman,shelly creek,martindale rd,smolt trap,in-river,10.5,co,93,
989.001038745327,englishman,shelly creek,martindale rd,smolt trap,in-river,12,co,86,
989.001038745312,englishman,shelly creek,martindale rd,smolt trap,in-river,10.5,co,73,
989.001038745367,englishman,shelly creek,martindale rd,smolt trap,in-river,10.5,co,74,
989.001038745293,englishman,shelly creek,martindale rd,smolt trap,in-river,10.5,co,80,
989.001038745301,englishman,shelly creek,martindale rd,smolt trap,in-river,10.5,co,82,
989.001038745334,englishman,shelly creek,martindale rd,smolt trap,in-river,10.5,co,82,
989.001038745292,englishman,shelly creek,martindale rd,smolt trap,in-river,10.5,co,83,
989.001038745363,englishman,shelly creek,martindale rd,smolt trap,in-river,10.5,co,84,
989.001038745341,englishman,shelly creek,martindale rd,smolt trap,in-river,10.5,co,85,
989.001038745324,englishman,shelly creek,martindale rd,smolt trap,in-river,10.5,co,86,
989.001038745317,englishman,shelly creek,martindale rd,smolt trap,in-river,10.5,co,87,
989.001038745314,englishman,shelly creek,martindale rd,smolt trap,in-river,10.5,co,91,
989.001038745383,englishman,shelly creek,martindale rd,smolt trap,in-river,10.5,co,93,
989.001038745311,englishman,shelly creek,martindale rd,smolt trap,in-river,10.5,co,94,
989.001038745370,englishman,shelly creek,martindale rd,smolt trap,in-river,10.5,co,95,
989.001038745378,englishman,shelly creek,martindale rd,smolt trap,in-river,10.5,co,97,
989.001038745380,englishman,shelly creek,martindale rd,smolt trap,in-river,10.5,co,98,
989.001038745309,englishman,shelly creek,martindale rd,smolt trap,in-river,10.5,co,98,
989.001038745318,englishman,shelly creek,martindale rd,smolt trap,in-river,10.5,co,104,
989.001038745358,englishman,shelly creek,martindale rd,smolt trap,in-river,10.5,rbt,84,
989.001038745343,englishman,shelly creek,martindale rd,smolt trap,in-river,10.6,co,85,
989.001038745326,englishman,shelly creek,martindale rd,smolt trap,in-river,12,co,81,
989.001038745304,englishman,shelly creek,martindale rd,smolt trap,in-river,12,co,82,
989.001038745336,englishman,shelly creek,martindale rd,smolt trap,in-river,12,co,84,
989.001038745294,englishman,shelly creek,martindale rd,smolt trap,in-river,12,co,84,
989.001038745384,englishman,shelly creek,martindale rd,smolt trap,in-river,12,co,84,
989.001038745340,englishman,shelly creek,martindale rd,smolt trap,in-river,12,co,85,
989.001038745349,englishman,shelly creek,martindale rd,smolt trap,in-river,12,co,87,
989.001038745320,englishman,shelly creek,martindale rd,smolt trap,in-river,12,co,87,
989.001038745289,englishman,shelly creek,martindale rd,smolt trap,in-river,12,co,88,
989.001038745335,englishman,shelly creek,martindale rd,smolt trap,in-river,12,co,88,
989.001038745368,englishman,shelly creek,martindale rd,smolt trap,in-river,12,co,88,
989.001038745355,englishman,shelly creek,martindale rd,smolt trap,in-river,12,co,89,
989.001038745287,englishman,shelly creek,martindale rd,smolt trap,in-river,12,co,89,
989.001038745345,englishman,shelly creek,martindale rd,smolt trap,in-river,12,co,90,
989.001038745323,englishman,shelly creek,martindale rd,smolt trap,in-river,12,co,90,
989.001038745319,englishman,shelly creek,martindale rd,smolt trap,in-river,12,co,91,
989.001038745353,englishman,shelly creek,martindale rd,smolt trap,in-river,12,co,91,
989.001038745348,englishman,shelly creek,martindale rd,smolt trap,in-river,12,co,93,
989.001038745357,englishman,shelly creek,martindale rd,smolt trap,in-river,12,co,96,
989.001038745346,englishman,shelly creek,martindale rd,smolt trap,in-river,12,co,98,
989.001038745352,englishman,shelly creek,martindale rd,smolt trap,in-river,12,co,100,
989.001038745373,englishman,shelly creek,martindale rd,smolt trap,in-river,12,co,101,
989.001038745302,englishman,shelly creek,martindale rd,smolt trap,in-river,12,co,102,
989.001038745296,englishman,shelly creek,martindale rd,smolt trap,in-river,12,co,105,
989.001038745354,englishman,shelly creek,martindale rd,smolt trap,in-river,12,rbt,77,
989.001038745313,englishman,shelly creek,martindale rd,smolt trap,in-river,12,rbt,82,
989.001038745351,englishman,shelly creek,martindale rd,smolt trap,in-river,12,rbt,85,
989.001038745332,englishman,shelly creek,martindale rd,smolt trap,in-river,12,rbt,86,
989.001038745376,englishman,shelly creek,martindale rd,smolt trap,in-river,12,rbt,87,
