date,watershed,river,site,method,local,water_temp_start,fork_length_mm,annoted_species,confirmed_species,tag_id_long
2021-06-02,puntledge,puntledge,above tsolum,beach seine,in-river,13.4,85,ck,coho,989.001038864826
2021-06-02,puntledge,puntledge,above tsolum,beach seine,in-river,13.4,85,ck,chinook,989.001038864862
2021-06-02,puntledge,puntledge,above tsolum,beach seine,in-river,13.4,85,ck,chinook,989.001038864891
2021-06-02,puntledge,puntledge,above tsolum,beach seine,in-river,13.4,85,ck,chinook,989.001038864827
2021-06-02,puntledge,puntledge,above tsolum,beach seine,in-river,13.4,85,ck,chinook,989.001038864865
2021-06-02,puntledge,puntledge,above tsolum,beach seine,in-river,13.4,86,ck,chinook,989.001038864825
2021-06-02,puntledge,puntledge,above tsolum,beach seine,in-river,13.4,86,ck,chinook,989.001038864882
2021-06-02,puntledge,puntledge,above tsolum,beach seine,in-river,13.4,86,ck,chinook,989.001038864853
2021-06-02,puntledge,puntledge,above tsolum,beach seine,in-river,13.4,86,ck,chinook,989.001038864832
2021-06-02,puntledge,puntledge,above tsolum,beach seine,in-river,13.4,86,ck,chinook,989.001038864893
2021-06-02,puntledge,puntledge,above tsolum,beach seine,in-river,13.4,86,ck,chinook,989.001038864892
2021-06-02,puntledge,puntledge,above tsolum,beach seine,in-river,13.4,87,ck,chinook,989.001038864852
2021-06-02,puntledge,puntledge,above tsolum,beach seine,in-river,13.4,87,ck,chinook,989.001038864847
2021-06-02,puntledge,puntledge,above tsolum,beach seine,in-river,13.4,89,ck,chinook,989.001038864868
2021-06-02,puntledge,puntledge,above tsolum,beach seine,in-river,13.4,89,ck,chinook,989.001038864821
2021-06-02,puntledge,puntledge,above tsolum,beach seine,in-river,13.4,89,ck,chinook,989.001038864879
2021-06-02,puntledge,puntledge,above tsolum,beach seine,in-river,13.4,90,ck,chinook,989.001038864881
2021-06-02,puntledge,puntledge,above tsolum,beach seine,in-river,13.4,91,ck,chinook,989.001038864833
2021-06-02,puntledge,puntledge,above tsolum,beach seine,in-river,13.4,91,ck,chinook,989.001038864844
2021-06-02,puntledge,puntledge,above tsolum,beach seine,in-river,13.4,91,ck,chinook,989.001038864849
2021-06-02,puntledge,puntledge,above tsolum,beach seine,in-river,13.4,92,ck,chinook,989.001038864894
2021-06-02,puntledge,puntledge,above tsolum,beach seine,in-river,13.4,92,ck,chinook,989.001038864906
2021-06-02,puntledge,puntledge,above tsolum,beach seine,in-river,13.4,93,ck,chinook,989.001038864888
2021-06-02,puntledge,puntledge,above tsolum,beach seine,in-river,13.4,93,ck,chinook,989.001038864904
2021-06-02,puntledge,puntledge,above tsolum,beach seine,in-river,13.4,94,ck,chinook,989.001038864912
2021-06-02,puntledge,puntledge,above tsolum,beach seine,in-river,13.4,94,ck,chinook,989.001038864901
2021-06-02,puntledge,puntledge,above tsolum,beach seine,in-river,13.4,94,ck,chinook,989.001038864899
2021-06-02,puntledge,puntledge,above tsolum,beach seine,in-river,13.4,95,ck,chinook,989.001038864851
2021-06-02,puntledge,puntledge,above tsolum,beach seine,in-river,13.4,95,ck,chinook,989.001038864914
2021-06-02,puntledge,puntledge,above tsolum,beach seine,in-river,13.4,96,ck,chinook,989.001038864911
2021-06-02,puntledge,puntledge,above tsolum,beach seine,in-river,13.4,99,ck,chinook,989.001038864839
2021-06-02,puntledge,puntledge,above tsolum,beach seine,in-river,13.4,98,co,coho,989.001038864860
2021-06-02,puntledge,puntledge,above tsolum,beach seine,in-river,13.4,129,co,coho,989.001038864822
2021-06-02,puntledge,puntledge,above tsolum,beach seine,in-river,13.4,100,rbt,steelhead,989.001038864876
2021-06-02,puntledge,puntledge,above tsolum,beach seine,in-river,13.4,111,rbt,steelhead,989.001038864872
2021-06-02,puntledge,puntledge,above tsolum,beach seine,in-river,13.4,121,rbt,steelhead,989.001038864837
2021-06-02,puntledge,puntledge,above tsolum,beach seine,in-river,13.4,67,ck,chinook,989.001038865828
2021-06-02,puntledge,puntledge,above tsolum,beach seine,in-river,13.4,69,ck,chinook,989.001038865899
2021-06-02,puntledge,puntledge,above tsolum,beach seine,in-river,13.4,71,ck,chinook,989.001038865877
2021-06-02,puntledge,puntledge,above tsolum,beach seine,in-river,13.4,71,ck,chinook,989.001038865819
2021-06-02,puntledge,puntledge,above tsolum,beach seine,in-river,13.4,72,ck,chinook,989.001038865868
2021-06-02,puntledge,puntledge,above tsolum,beach seine,in-river,13.4,72,ck,chinook,989.001038865850
2021-06-02,puntledge,puntledge,above tsolum,beach seine,in-river,13.4,75,ck,chinook,989.001038865889
2021-06-02,puntledge,puntledge,above tsolum,beach seine,in-river,13.4,75,ck,chinook,989.001038865854
2021-06-02,puntledge,puntledge,above tsolum,beach seine,in-river,13.4,75,ck,chinook,989.001038865835
2021-06-02,puntledge,puntledge,above tsolum,beach seine,in-river,13.4,77,ck,chinook,989.001038865818
2021-06-02,puntledge,puntledge,above tsolum,beach seine,in-river,13.4,77,ck,chinook,989.001038865897
2021-06-02,puntledge,puntledge,above tsolum,beach seine,in-river,13.4,78,ck,chinook,989.001038865910
2021-06-02,puntledge,puntledge,above tsolum,beach seine,in-river,13.4,79,ck,chinook,989.001038865887
2021-06-02,puntledge,puntledge,above tsolum,beach seine,in-river,13.4,80,ck,chinook,989.001038865838
2021-06-02,puntledge,puntledge,above tsolum,beach seine,in-river,13.4,81,ck,chinook,989.001038865844
2021-06-02,puntledge,puntledge,above tsolum,beach seine,in-river,13.4,82,ck,chinook,989.001038865863
2021-06-02,puntledge,puntledge,above tsolum,beach seine,in-river,13.4,82,ck,chinook,989.001038865908
2021-06-02,puntledge,puntledge,above tsolum,beach seine,in-river,13.4,83,ck,chinook,989.001038865833
2021-06-02,puntledge,puntledge,above tsolum,beach seine,in-river,13.4,83,ck,chinook,989.001038865894
2021-06-02,puntledge,puntledge,above tsolum,beach seine,in-river,13.4,83,ck,chinook,989.001038865876
2021-06-02,puntledge,puntledge,above tsolum,beach seine,in-river,13.4,84,ck,chinook,989.001038865916
2021-06-02,puntledge,puntledge,above tsolum,beach seine,in-river,13.4,85,ck,chinook,989.001038865820
2021-06-02,puntledge,puntledge,above tsolum,beach seine,in-river,13.4,87,ck,chinook,989.001038865857
2021-06-02,puntledge,puntledge,above tsolum,beach seine,in-river,13.4,88,ck,chinook,989.001038865913
2021-06-02,puntledge,puntledge,above tsolum,beach seine,in-river,13.4,89,ck,chinook,989.001038865855
2021-06-02,puntledge,puntledge,above tsolum,beach seine,in-river,13.4,91,ck,chinook,989.001038865825
2021-06-02,puntledge,puntledge,above tsolum,beach seine,in-river,13.4,92,ck,chinook,989.001038865821
2021-06-02,puntledge,puntledge,above tsolum,beach seine,in-river,13.4,92,ck,chinook,989.001038865907
2021-06-02,puntledge,puntledge,above tsolum,beach seine,in-river,13.4,94,ck,chinook,989.001038865842
2021-06-02,puntledge,puntledge,above tsolum,beach seine,in-river,13.4,126,ck,coho,989.001038865901
2021-06-02,puntledge,puntledge,above tsolum,beach seine,in-river,13.4,86,rbt,steelhead,989.001038865893
2021-06-02,puntledge,puntledge,above tsolum,beach seine,in-river,13.4,96,rbt,steelhead,989.001038865861
2021-06-02,puntledge,puntledge,condensory bridge,beach seine,in-river,13.4,59,ck,chinook,989.001038864321
2021-06-02,puntledge,puntledge,condensory bridge,beach seine,in-river,13.4,60,ck,chinook,989.001038864332
2021-06-02,puntledge,puntledge,condensory bridge,beach seine,in-river,13.4,61,ck,chinook,989.001038864393
2021-06-02,puntledge,puntledge,condensory bridge,beach seine,in-river,13.4,64,ck,chinook,989.001038864341
2021-06-02,puntledge,puntledge,condensory bridge,beach seine,in-river,13.4,66,ck,chinook,989.001038864400
2021-06-02,puntledge,puntledge,condensory bridge,beach seine,in-river,13.4,69,ck,chinook,989.001038864413
2021-06-02,puntledge,puntledge,condensory bridge,beach seine,in-river,13.4,69,ck,chinook,989.001038864334
2021-06-02,puntledge,puntledge,condensory bridge,beach seine,in-river,13.4,69,ck,chinook,989.001038864316
2021-06-02,puntledge,puntledge,condensory bridge,beach seine,in-river,13.4,71,ck,chinook,989.001038864408
2021-06-02,puntledge,puntledge,condensory bridge,beach seine,in-river,13.4,71,ck,chinook,989.001038864369
2021-06-02,puntledge,puntledge,condensory bridge,beach seine,in-river,13.4,73,ck,chinook,989.001038864379
2021-06-02,puntledge,puntledge,condensory bridge,beach seine,in-river,13.4,73,ck,chinook,989.001038864319
2021-06-02,puntledge,puntledge,condensory bridge,beach seine,in-river,13.4,74,ck,chinook,989.001038864396
2021-06-02,puntledge,puntledge,condensory bridge,beach seine,in-river,13.4,74,ck,chinook,989.001038864392
2021-06-02,puntledge,puntledge,condensory bridge,beach seine,in-river,13.4,75,ck,chinook,989.001038864326
2021-06-02,puntledge,puntledge,condensory bridge,beach seine,in-river,13.4,75,ck,chinook,989.001038864357
2021-06-02,puntledge,puntledge,condensory bridge,beach seine,in-river,13.4,75,ck,chinook,989.001038864409
2021-06-02,puntledge,puntledge,condensory bridge,beach seine,in-river,13.4,76,ck,chinook,989.001038864315
2021-06-02,puntledge,puntledge,condensory bridge,beach seine,in-river,13.4,76,ck,chinook,989.001038864385
2021-06-02,puntledge,puntledge,condensory bridge,beach seine,in-river,13.4,77,ck,chinook,989.001038864382
