date,year,month,watershed,river,site,method,local,crew,pit_scanner,pit_tray,day_start_time,water_temp_start,day_comments,day_end_time,water_temp_end,species,fork_length_mm,weight_g,clip_status,tag_status,scanner_time,tag_id_long,whatman_sheet_ck,whatman_sheet_co,whatman_no,fish_comments,set_no,whatman_concat_ck,whatman_concat_co,whatman_concat_ck2,whatman_concat_co2,stock,river_or_estuary,wild_or_hatchery
2021-06-10,2021,6,puntledge,puntledge,little mexico,beach seine,marine,"ds, tn, ctm, cm",4037,apt095175,12:00:00,15.2,,15:30:00,16.4,,,,unclip,tag,14:27:27,989.001038866877,,064-21,17,,4,,064-21-17,,17-064-21,,estuary,unknown
2021-05-11,2021,5,campbell river,quinsam,hatchery fence,wolf trap,in-river,a'telgay,4041,apt101184,09:15:00,,,10:45:00,,,,,,tag,09:17:02,989.001039379550,,,,"missed fl, weight, clip status",,,,,,,river,
2021-05-11,2021,5,campbell river,quinsam,hatchery fence,wolf trap,in-river,a'telgay,4041,apt101184,09:15:00,,,10:45:00,,,,,,tag,09:20:01,989.001039379532,,,,"missed fl, weight, clip status",,,,,,,river,
2021-05-11,2021,5,campbell river,quinsam,hatchery fence,wolf trap,in-river,a'telgay,4041,apt101184,09:15:00,,,10:45:00,,,,,,tag,10:01:41,989.001039379548,,,,"missed fl, weight, clip status",,,,,,,river,
2021-05-11,2021,5,campbell river,quinsam,hatchery fence,wolf trap,in-river,a'telgay,4041,apt101184,09:15:00,,,10:45:00,,,,,,tag,10:29:51,989.001039379579,,,,"missed fl, weight, clip status",,,,,,,river,
2023-05-26,2023,5,englishman,center creek,center creek,smolt trap,in-river,"ht,aa",5828,,11:00:00,13.8,,,,,,,unclip,tag,09:24:52,989.001042811432,,,,,,,,,,,river,wild
2023-05-26,2023,5,englishman,center creek,center creek,smolt trap,in-river,"ht,aa",5828,,11:00:00,13.8,,,,,,,unclip,tag,09:26:21,989.001042811462,,,,,,,,,,,river,wild
2023-05-26,2023,5,englishman,center creek,center creek,smolt trap,in-river,"ht,aa",5828,,11:00:00,13.8,,,,,,,unclip,tag,11:05:03,989.001042812949,,,,,,,,,,,river,wild
2023-05-26,2023,5,englishman,center creek,center creek,smolt trap,in-river,"ht,aa",5828,,11:00:00,13.8,,,,,,,unclip,tag,11:06:57,989.001042812981,,,,,,,,,,,river,wild
2023-05-26,2023,5,englishman,center creek,center creek,smolt trap,in-river,"ht,aa",5828,,11:00:00,13.8,,,,,,,unclip,tag,11:07:23,989.001042812887,,,,,,,,,,,river,wild
