tag_id_long,species,predicted_label,confidence
,co,chinook,0.5162410736083984
,co,chinook,0.5760287642478943
,ck,chinook,0.8758233189582825
,ck,chinook,0.8758233189582825
,ck,chinook,0.8786371350288391
,ck,chinook,0.8786371350288391
,ck,chinook,0.8840864300727844
,ck,chinook,0.8840864300727844
,ck,chinook,0.8943602442741394
,ck,chinook,0.8943602442741394
,ck,chinook,0.9015811085700989
,ck,chinook,0.9015811085700989
,ck,chinook,0.9082642793655396
,ck,chinook,0.9082642793655396
,ck,chinook,0.7425123453140259
,ck,chinook,0.8188499808311462
,ck,chinook,0.8188499808311462
,co,chinook,0.4390011131763458
,ck,chinook,0.8699966073036194
,co,chinook,0.47547265887260437
,ck,chinook,0.8730658888816833
,ck,chinook,0.6622133255004883
,ck,chinook,0.5723367929458618
,co,coho,0.4138014614582062
,ck,chinook,0.551230788230896
,ck,chinook,0.587665319442749
,ck,chinook,0.8490620851516724
,ck,chinook,0.8713228106498718
,ck,chinook,0.8836830854415894
,ck,chinook,0.8649616241455078
,ck,chinook,0.8649615049362183
,ck,chinook,0.8408605456352234
,ck,chinook,0.8305960297584534
,co,chinook,0.5674884915351868
,co,chinook,0.6322707533836365
,ck,chinook,0.5640813112258911
,ck,chinook,0.5675761699676514
,ck,chinook,0.6646724343299866
,ck,chinook,0.8534298539161682
,ck,chinook,0.5640813112258911
,co,coho,0.40428364276885986
,ck,,
,ck,,
,co,chinook,0.4188843369483948
,co,chinook,0.42922070622444153
,ck,chinook,0.695695161819458
,co,chinook,0.466149240732193
,co,chinook,0.5131394267082214
,ck,chinook,0.864004373550415
,ck,chinook,0.864004373550415
,ck,chinook,0.8758609294891357
,co,chinook,0.7832658290863037
,co,chinook,0.6869438886642456
,co,coho,0.4194432497024536
,co,chinook,0.7046439051628113
,ck,,
,ck,,
,ck,chinook,0.5496612787246704
,ck,chinook,0.5496612787246704
,ck,chinook,0.5807170271873474
,ck,chinook,0.5927758812904358
,ck,chinook,0.6111486554145813
,co,chinook,0.9060919284820557
,co,chinook,0.9060919284820557
,co,chinook,0.9141655564308167
,co,chinook,0.9141655564308167
,co,chinook,0.9253199100494385
,ck,chinook,0.8592015504837036
,co,chinook,0.9253199100494385
,ck,chinook,0.8691821098327637
,ck,chinook,0.8449249267578125
,ck,chinook,0.8449249267578125
,ck,chinook,0.8626033663749695
,ck,chinook,0.8730658888816833
,ck,,
,ck,chinook,0.8725379109382629
,ck,chinook,0.8813216686248779
,ck,chinook,0.8713228106498718
,ck,chinook,0.6093937158584595
,co,coho,0.5721842050552368
,co,coho,0.5721842050552368
,ck,chinook,0.5992721319198608
,ck,chinook,0.576341986656189
,rbt,coho,0.9737861752510071
,rbt,coho,0.9737861752510071
,rbt,coho,0.9508787989616394
,rbt,coho,0.9508787989616394
,rbt,coho,0.936479926109314
,rbt,coho,0.936479926109314
,ck,coho,0.8281705379486084
,rbt,coho,0.9389233589172363
,rbt,coho,0.8984311819076538
,ct,coho,0.9567466378211975
,ct,coho,0.9550541043281555
,ct,coho,0.953311562538147
,ct,coho,0.9521126747131348
,ct,coho,0.948960542678833
,ct,coho,0.9427957534790039
,ct,coho,0.9186461567878723
,ck,coho,0.8378394842147827
,ck,coho,0.8354563117027283
,ck,coho,0.833042562007904
,ck,coho,0.8305994868278503
,ck,coho,0.8257626295089722
,ck,coho,0.8184051513671875
,ck,coho,0.8132461309432983
,ck,coho,0.8132461309432983
,ck,coho,0.7737667560577393
,ck,coho,0.7697393894195557
,ck,coho,0.7656615376472473
,ck,coho,0.7656615376472473
,ck,coho,0.7214879989624023
,ck,coho,0.705307126045227
,ck,coho,0.6655235290527344
,ck,coho,0.6655235290527344
,ck,coho,0.6655235290527344
,ck,coho,0.658237874507904
,ck,coho,0.618899941444397
,ck,coho,0.618899941444397
,ck,coho,0.6028916835784912
,ck,coho,0.5165477395057678
,ck,coho,0.5165477395057678
,ck,coho,0.5165477395057678
