tagid,watershed,earliest_detect_date,source,species
989.001006676104,englishman,2022-06-28 18:40:58.040000,river,rbt
989.001006676145,englishman,2022-05-08 06:12:40.590000,river,co
989.001006676980,englishman,2022-06-03 21:01:34.320000,river,co
989.001006677024,englishman,2022-05-29 13:57:24.490000,river,co
989.001006677029,englishman,2022-06-02 16:38:51.890000,river,co
989.001006677033,englishman,2022-06-02 20:30:18.930000,river,co
989.001006677037,englishman,2022-06-03 21:01:10.420000,river,co
989.001006677043,englishman,2022-05-31 00:28:38.870000,river,co
989.001006677065,englishman,2022-05-28 21:23:37.160000,river,co
989.001006677072,englishman,2022-05-17 13:58:12.270000,river,co
989.001006677075,englishman,2022-05-17 21:14:52.220000,river,co
989.001006677085,englishman,2022-05-18 16:37:41.800000,river,co
989.001006677110,englishman,2022-05-17 05:30:21.220000,river,co
989.001006677114,englishman,2022-05-21 05:01:06.620000,river,co
989.001006677121,englishman,2022-05-17 19:25:32.830000,river,co
989.001006677145,englishman,2022-05-18 15:23:42.920000,river,co
989.001006677151,englishman,2022-05-17 05:16:41.620000,river,co
989.001006678076,englishman,2022-05-23 21:39:02.190000,river,co
989.001006678088,englishman,2022-05-23 16:49:20.670000,river,co
989.001006678091,englishman,2022-05-24 05:15:06.020000,river,co
989.001006678097,englishman,2022-05-21 05:31:55.490000,river,co
989.001006678145,englishman,2022-05-18 00:37:59.610000,river,co
989.001006678151,englishman,2022-05-20 21:58:27.300000,river,co
989.001006678164,englishman,2022-05-18 02:22:27.720000,river,co
989.001034166369,englishman,2022-05-13 02:18:12.490000,river,co
989.001034166391,englishman,2022-05-09 05:42:47.810000,river,co
989.001034166443,englishman,2022-05-08 03:00:36.410000,river,co
989.001034166451,englishman,2022-06-02 01:54:01.930000,river,co
989.001034166452,englishman,2022-05-10 05:33:59.180000,river,co
989.001034166472,englishman,2023-05-02 22:32:59.380000,river,ct
989.001034166485,englishman,2023-06-25 02:41:54.980000,river,ct
989.001034166493,englishman,2023-05-02 22:13:21.970000,river,rbt
989.001034166496,englishman,2023-05-09 00:24:30.470000,river,stl
989.001034166509,englishman,2023-06-14 23:57:58.850000,river,rbt
989.001034166510,englishman,2023-05-09 02:21:48.290000,river,rbt
989.001034166515,englishman,2023-05-02 01:42:43.700000,river,co
989.001034166524,englishman,2023-06-04 15:30:56.910000,river,rbt
989.001034166531,englishman,2023-07-05 23:32:00.590000,river,ct
989.001034166549,englishman,2023-05-10 20:47:18.620000,river,rbt
989.001034166550,englishman,2023-05-02 00:01:44.300000,river,ct
989.001034166551,englishman,2023-06-16 23:25:33.250000,river,rbt
989.001034167463,englishman,2023-05-20 11:06:04.320000,river,rbt
989.001034167467,englishman,2023-05-06 20:45:17.640000,river,ct
