STATION_NUMBER,YEAR,MONTH,Day,Flow,Date
08HA001,2018,1,1,24.200000762939453,2018-01-01
08HA003,2018,1,1,17.200000762939453,2018-01-01
08HA001,2018,1,2,19.899999618530277,2018-01-02
08HA003,2018,1,2,12.699999809265137,2018-01-02
08HA001,2018,1,3,17.399999618530273,2018-01-03
08HA003,2018,1,3,10.199999809265137,2018-01-03
08HA003,2018,1,4,8.640000343322754,2018-01-04
08HA001,2018,1,4,16.0,2018-01-04
08HA001,2018,1,5,28.700000762939453,2018-01-05
08HA003,2018,1,5,8.619999885559082,2018-01-05
08HA003,2018,1,6,12.699999809265137,2018-01-06
08HA001,2018,1,6,50.59999847412109,2018-01-06
08HA003,2018,1,7,15.5,2018-01-07
08HA001,2018,1,7,39.09999847412109,2018-01-07
08HA001,2018,1,8,57.70000076293945,2018-01-08
08HA003,2018,1,8,24.799999237060547,2018-01-08
08HA001,2018,1,9,58.70000076293945,2018-01-09
08HA003,2018,1,9,27.799999237060547,2018-01-09
08HA003,2018,1,10,21.299999237060547,2018-01-10
08HA001,2018,1,10,40.59999847412109,2018-01-10
08HA003,2018,1,11,21.0,2018-01-11
08HA001,2018,1,11,34.79999923706055,2018-01-11
08HA003,2018,1,12,22.799999237060547,2018-01-12
08HA001,2018,1,12,33.5,2018-01-12
08HA001,2018,1,13,44.79999923706055,2018-01-13
08HA003,2018,1,13,29.799999237060547,2018-01-13
08HA001,2018,1,14,44.59999847412109,2018-01-14
08HA003,2018,1,14,27.5,2018-01-14
08HA001,2018,1,15,40.20000076293945,2018-01-15
08HA003,2018,1,15,21.799999237060547,2018-01-15
08HA003,2018,1,16,20.0,2018-01-16
08HA001,2018,1,16,39.0,2018-01-16
08HA001,2018,1,17,75.4000015258789,2018-01-17
08HA003,2018,1,17,34.5,2018-01-17
08HA003,2018,1,18,61.59999847412109,2018-01-18
08HA001,2018,1,18,141.0,2018-01-18
08HA001,2018,1,19,78.5,2018-01-19
08HA003,2018,1,19,42.0,2018-01-19
08HA001,2018,1,20,55.400001525878906,2018-01-20
08HA003,2018,1,20,35.400001525878906,2018-01-20
08HA001,2018,1,21,121.0,2018-01-21
08HA003,2018,1,21,55.0,2018-01-21
08HA003,2018,1,22,51.79999923706055,2018-01-22
08HA001,2018,1,22,90.0,2018-01-22
08HA003,2018,1,23,36.79999923706055,2018-01-23
08HA001,2018,1,23,61.29999923706055,2018-01-23
08HA001,2018,1,24,67.5999984741211,2018-01-24
08HA003,2018,1,24,37.79999923706055,2018-01-24
