date,species,count,70.2,cow bay,mainstem fence,skutz,vimy pool
2014-05-01,cn,7,,,,,
2014-05-02,cn,34,,,,,
2014-05-07,cn,21,,,,,
2014-05-08,cn,136,,,,,
2014-05-13,cn,74,,,,,
2014-05-14,cn,12,,,,,
2014-05-16,cn,28,,,,,
2014-05-20,cn,680,,,,,
2014-05-22,cn,173,,,,,
2014-05-25,cn,36,,,,,
2014-05-26,cn,351,,,,,
2014-05-27,cn,803,,,,,
2014-05-28,cn,698,,,,,
2014-06-05,cn,278,,,,,
2014-06-12,cn,14,,,,,
2014-06-16,cn,881,,,,,
2014-06-17,cn,376,,,,,
2014-07-14,cn,15,,,,,
2014-07-15,cn,83,,,,,
2014-07-16,cn,50,,,,,
2014-08-02,cn,2,,,,,
2014-08-03,cn,3,,,,,
2014-08-11,cn,3,,,,,
2014-08-12,cn,1,,,,,
2014-08-13,cn,5,,,,,
2014-08-14,cn,4,,,,,
2014-08-15,cn,4,,,,,
2014-08-18,cn,1,,,,,
2014-08-19,cn,4,,,,,
2014-08-20,cn,8,,,,,
2014-08-21,cn,2,,,,,
2014-08-22,cn,11,,,,,
2014-08-27,cn,5,,,,,
2014-08-28,cn,4,,,,,
2014-08-29,cn,2,,,,,
2014-09-05,cn,1,,,,,
2014-09-08,cn,6,,,,,
2014-09-09,cn,4,,,,,
2014-09-10,cn,3,,,,,
2014-09-11,cn,5,,,,,
2014-09-12,cn,3,,,,,
2014-09-13,cn,3,,,,,
2014-09-16,cn,9,,,,,
2014-09-17,cn,8,,,,,
2014-09-22,cn,5,,,,,
2014-09-23,cn,6,,,,,
2014-09-26,cn,6,,,,,
2014-09-30,cn,3,,,,,
2014-10-02,cn,3,,,,,
2014-10-03,cn,1,,,,,
2015-05-11,cn,2,,,,,
2015-05-12,cn,150,,,,,
2015-05-13,cn,169,,,,,
2015-05-14,cn,218,,,,,
2015-05-19,cn,22,,,,,
2015-05-20,cn,518,,,,,
2015-05-21,cn,372,,,,,
2015-05-22,cn,240,,,,,
2015-05-26,cn,185,,,,,
2015-05-27,cn,318,,,,,
2015-05-28,cn,398,,,,,
2015-05-30,cn,343,,,,,
2015-05-31,cn,442,,,,,
2015-06-02,cn,340,,,,,
2015-06-03,cn,630,,,,,
2015-06-05,cn,211,,,,,
2015-06-09,cn,210,,,,,
2015-06-10,cn,226,,,,,
2015-06-15,cn,578,,,,,
2015-06-16,cn,713,,,,,
2015-06-17,cn,702,,,,,
2015-06-23,cn,28,,,,,
2015-07-06,cn,2,,,,,
2015-07-09,cn,1,,,,,
2015-07-11,cn,1,,,,,
2015-07-17,cn,1,,,,,
2015-07-18,cn,3,,,,,
2015-07-19,cn,2,,,,,
2015-07-22,cn,3,,,,,
2015-07-25,cn,3,,,,,
2015-07-26,cn,3,,,,,
2015-07-27,cn,6,,,,,
2015-07-28,cn,1,,,,,
2015-07-29,cn,2,,,,,
2015-08-02,cn,6,,,,,
2015-08-04,cn,6,,,,,
2015-08-05,cn,26,,,,,
2015-08-06,cn,40,,,,,
2015-08-08,cn,1,,,,,
2015-08-09,cn,6,,,,,
2015-08-10,cn,40,,,,,
2015-08-11,cn,70,,,,,
2015-08-12,cn,37,,,,,
2015-08-13,cn,5,,,,,
2015-08-17,cn,8,,,,,
2015-08-18,cn,44,,,,,
2015-08-19,cn,65,,,,,
2015-08-20,cn,13,,,,,
2015-08-21,cn,33,,,,,
2015-08-22,cn,7,,,,,
2015-08-24,cn,66,,,,,
2015-08-25,cn,60,,,,,
2015-08-26,cn,29,,,,,
2015-08-27,cn,5,,,,,
2015-08-30,cn,1,,,,,
2015-08-31,cn,3,,,,,
2015-09-01,cn,44,,,,,
2015-09-02,cn,38,,,,,
2015-09-03,cn,1,,,,,
2015-09-09,cn,1,,,,,
2015-09-10,cn,4,,,,,
2015-09-11,cn,4,,,,,
2015-09-12,cn,7,,,,,
2015-09-14,cn,3,,,,,
2015-09-16,cn,4,,,,,
2015-09-17,cn,4,,,,,
2015-09-19,cn,4,,,,,
2015-09-22,cn,49,,,,,
2015-09-23,cn,5,,,,,
2015-09-24,cn,2,,,,,
2015-09-25,cn,5,,,,,
2015-09-29,cn,8,,,,,
2015-09-30,cn,4,,,,,
2015-10-01,cn,1,,,,,
2015-10-07,cn,1,,,,,
2015-10-08,cn,12,,,,,
2015-10-11,cn,7,,,,,
2015-10-13,cn,1,,,,,
2015-10-15,cn,1,,,,,
2015-10-20,cn,5,,,,,
2015-10-23,cn,1,,,,,
2016-04-26,cn,224,,,,,
2016-05-02,cn,428,,,,,
2016-05-03,cn,186,,,,,
2016-05-04,cn,232,,,,,
2016-05-05,cn,274,,,,,
2016-05-06,cn,173,,,,,
2016-05-09,cn,164,,,,,
2016-05-13,cn,294,,,,,
2016-05-16,cn,760,,,,,
2016-05-17,cn,1254,,,,,
2016-05-18,cn,773,,,,,
