tagid,datetime,stage,origin,species,fork_length_mm
989.001041738055,2023-06-15 04:38:42.650000,downstream,hatch,co,
989.001041738055,2023-06-15 21:50:50.870000,downstream,hatch,co,
989.001041737848,2023-06-15 21:51:02.010000,downstream,hatch,co,
989.001041740861,2023-06-15 22:29:25.450000,downstream,hatch,co,
989.001041739310,2023-06-15 22:43:37.050000,downstream,hatch,co,
989.001041737438,2023-06-15 22:51:40.340000,downstream,hatch,co,
989.001041756557,2023-06-15 23:04:26.010000,downstream,hatch,co,
989.001041736906,2023-06-16 00:59:06.480000,downstream,hatch,co,
989.001041738550,2023-06-18 05:01:59.270000,downstream,hatch,co,
989.001041738550,2023-06-18 05:04:35.820000,downstream,hatch,co,
989.001041758666,2023-05-15 05:10:53.680000,downstream,hatch,co,
989.001041758689,2023-05-19 15:08:31.320000,downstream,hatch,co,
989.001041758689,2023-05-19 15:08:41.240000,downstream,hatch,co,
989.001041758689,2023-05-19 17:17:10.690000,downstream,hatch,co,
989.001041758689,2023-05-19 17:27:58.370000,downstream,hatch,co,
989.001041758689,2023-05-19 18:44:58.320000,downstream,hatch,co,
989.001041758875,2023-05-14 21:25:03.570000,downstream,hatch,co,
989.001041737453,2023-05-17 23:54:31.010000,downstream,hatch,co,
989.001041737453,2023-05-18 00:07:11.040000,downstream,hatch,co,
989.001041737453,2023-05-18 00:10:26.680000,downstream,hatch,co,
989.001041737453,2023-05-18 00:12:47.900000,downstream,hatch,co,
989.001041737453,2023-05-18 16:38:57.960000,downstream,hatch,co,
989.001041756645,2023-05-16 23:37:55.150000,downstream,hatch,co,
989.001041739259,2023-05-21 07:17:09.040000,downstream,hatch,co,
989.001041739259,2023-05-21 07:17:12.810000,downstream,hatch,co,
989.001041739259,2023-05-21 07:18:40.230000,downstream,hatch,co,
989.001041757377,2023-05-14 21:11:40.270000,downstream,hatch,co,
989.001040919329,2023-05-17 00:16:57.730000,downstream,hatch,co,
989.001041737989,2023-05-15 21:37:26.120000,downstream,hatch,co,
989.001041758020,2023-05-28 21:31:58.860000,downstream,hatch,co,
989.001041758020,2023-05-28 21:34:54.860000,downstream,hatch,co,
989.001041758020,2023-05-28 21:35:26.950000,downstream,hatch,co,
989.001041758020,2023-05-28 21:52:03.820000,downstream,hatch,co,
989.001040919331,2023-05-16 11:28:45.300000,downstream,hatch,co,
989.001041736859,2023-05-19 17:29:09.210000,downstream,hatch,co,
989.001041736859,2023-05-19 17:29:11.840000,downstream,hatch,co,
989.001040918205,2023-05-14 04:59:55.620000,downstream,hatch,co,
989.001041738587,2023-05-29 22:50:31.080000,downstream,hatch,co,
989.001041737422,2023-05-17 22:31:45.970000,downstream,hatch,co,
989.001041737422,2023-05-18 05:57:04.930000,downstream,hatch,co,
989.001041737422,2023-05-18 05:57:18.780000,downstream,hatch,co,
989.001041737422,2023-05-19 06:12:52.780000,downstream,hatch,co,
989.001041737422,2023-05-19 06:20:11.490000,downstream,hatch,co,
989.001041737422,2023-05-19 06:29:07.240000,downstream,hatch,co,
989.001041737422,2023-05-19 06:34:02.470000,downstream,hatch,co,
989.001041737422,2023-05-19 06:35:33.590000,downstream,hatch,co,
989.001041737422,2023-05-19 06:36:32,downstream,hatch,co,
989.001041737422,2023-05-19 06:37:52.160000,downstream,hatch,co,
989.001040918749,2023-05-17 16:28:53.080000,downstream,hatch,co,
989.001040918749,2023-05-17 21:15:05.800000,downstream,hatch,co,
989.001040919325,2023-05-19 17:43:14.820000,downstream,hatch,co,
989.001040919325,2023-05-19 17:43:24.560000,downstream,hatch,co,
989.001041759365,2023-05-17 22:18:36.960000,downstream,hatch,co,
989.001041756931,2023-05-16 22:15:49.410000,downstream,hatch,co,
989.001040918660,2023-05-18 23:20:46.850000,downstream,hatch,co,
989.001041756765,2023-05-17 05:29:22.340000,downstream,hatch,co,
989.001041756765,2023-05-17 16:26:45.940000,downstream,hatch,co,
989.001041756765,2023-05-17 16:26:50.870000,downstream,hatch,co,
989.001041756765,2023-05-17 21:12:25.800000,downstream,hatch,co,
989.001041756765,2023-05-18 00:40:12.750000,downstream,hatch,co,
989.001041756765,2023-05-18 16:30:35.760000,downstream,hatch,co,
989.001041756765,2023-05-18 16:34:50.850000,downstream,hatch,co,
989.001041756765,2023-05-19 17:25:16.920000,downstream,hatch,co,
989.001041756765,2023-05-19 17:25:49.520000,downstream,hatch,co,
989.001041756765,2023-05-19 17:26:11.920000,downstream,hatch,co,
989.001041757436,2023-05-17 05:36:32.720000,downstream,hatch,co,
989.001041757436,2023-05-17 05:37:51.510000,downstream,hatch,co,
989.001041757436,2023-05-17 05:39:02.610000,downstream,hatch,co,
989.001041757436,2023-05-17 05:55:29.680000,downstream,hatch,co,
989.001041757436,2023-05-17 05:56:33.390000,downstream,hatch,co,
989.001041757436,2023-05-17 21:24:02.590000,downstream,hatch,co,
989.001041736369,2023-05-17 00:11:45.110000,downstream,hatch,co,
989.001041736522,2023-05-15 21:17:22.940000,downstream,hatch,co,
989.001041737684,2023-05-18 16:38:35.330000,downstream,hatch,co,
989.001041737684,2023-05-18 16:44:25.210000,downstream,hatch,co,
989.001040919303,2023-05-16 22:15:44.280000,downstream,hatch,co,
989.001040919303,2023-05-16 22:17:18.860000,downstream,hatch,co,
989.001041759458,2023-05-16 23:16:56.710000,downstream,hatch,co,
989.001040933882,2023-05-19 17:21:00.900000,downstream,hatch,co,
989.001040933882,2023-05-20 06:33:01.650000,downstream,hatch,co,
989.001040933882,2023-05-20 06:33:24.410000,downstream,hatch,co,
989.001040933882,2023-05-20 06:33:29.480000,downstream,hatch,co,
989.001040933882,2023-05-20 10:14:07,downstream,hatch,co,
989.001040933882,2023-05-20 10:15:44.220000,downstream,hatch,co,
989.001040933882,2023-05-20 10:21:29.300000,downstream,hatch,co,
989.001040933882,2023-05-20 10:22:38.770000,downstream,hatch,co,
989.001040933882,2023-05-20 10:35:13.990000,downstream,hatch,co,
989.001040933882,2023-05-20 10:36:13,downstream,hatch,co,
989.001040933882,2023-05-20 10:37:13.020000,downstream,hatch,co,
989.001040933882,2023-05-20 10:38:13,downstream,hatch,co,
989.001040933882,2023-05-20 10:39:13.010000,downstream,hatch,co,
989.001040933882,2023-05-20 10:40:13,downstream,hatch,co,
989.001040933882,2023-05-20 10:41:13,downstream,hatch,co,
989.001040933882,2023-05-20 10:42:13.030000,downstream,hatch,co,
989.001040933882,2023-05-20 10:43:13,downstream,hatch,co,
989.001040933882,2023-05-20 10:44:13.020000,downstream,hatch,co,
989.001040933882,2023-05-20 10:45:13.020000,downstream,hatch,co,
989.001040933882,2023-05-20 10:46:13.010000,downstream,hatch,co,
989.001040933882,2023-05-20 10:47:13.010000,downstream,hatch,co,
989.001040933882,2023-05-20 10:48:13.020000,downstream,hatch,co,
