tag_id_long,date,stage,origin,fork_length_mm,action,species
989.001034046413,2021-10-27,microtroll,hatch,210.0,clip,ck
989.001038730126,2022-03-10,microtroll,hatch,268.0,unclip,ck
989.001039383269,2022-10-13,microtroll,hatch,277.0,clip,co
989.001039387348,2021-10-18,microtroll,hatch,232.0,unclip,ck
989.001039389185,2022-02-06,microtroll,hatch,245.0,unclip,ck
989.001039398039,2022-03-10,microtroll,hatch,,unclip,ck
989.001039718298,2022-01-17,microtroll,hatch,235.0,unclip,ck
989.001039726903,2023-10-26,microtroll,hatch,260.0,clip,ck
989.001042000139,2022-09-15,microtroll,hatch,220.0,unclip,ck
989.001042363538,2023-10-13,microtroll,hatch,226.0,clip,ck
989.001042364180,2023-10-20,microtroll,hatch,226.0,clip,ck
989.001042366027,2023-09-18,microtroll,hatch,206.0,clip,ck
989.001042512259,2022-10-04,microtroll,hatch,237.0,clip,ck
989.001042512746,2022-10-20,microtroll,hatch,215.0,unclip,ck
989.001042512871,2022-09-08,microtroll,hatch,219.0,clip,ck
